DocNo,DocDate,TaxDate,SalesLocation,SalesAgent,CreditTerm,Description,DebtorCode,TaxEntity,Address,InclusiveTax,SubmitEInvoice,ProductCode,AccNo,ClassificationCode,TaxCode,DetailDescription,FurtherDescription,Qty,Unit,UnitPrice,LocalTotalCost,TaxExemptionExpiryDate,PaymentMethod,PaymentRef,PaymentAmt,Email,EmailCC,EmailBCC,Attention,Phone1,Fax1,DeliverAddress,DeliverContact,DeliverPhone1,DeliverFax1,Ref,Note,Remark1,Remark2,Remark3,Remark4,CurrencyRate,ToTaxCurrencyRate,ToBankRate,ShippingRecipientTaxEntity,FreightAllowanceCharge,FreightAllowanceChargeReason,ReferenceNumberOfCustomsFormNo1And9,FreeTradeAgreementInformation,ReferenceNumberOfCustomsFormNo2,Incoterms,AuthorisationNumberForCertifiedExporter,EInvoiceIssueDateTime,EInvoiceUuid,ProductVariant,DeptNo,Discount,UnitType,TaxExportCountry,TaxPermitNo,TaxAdjustment,LocalTaxAdjustment,TariffCode,YourPONo,YourPODate,OriginCountry
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (DE),• Cost Center: MY037101 | • Country: DE | • Pay-per-use: USD 0.1365 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,2,2,0.5562,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (DO),• Cost Center: MY037101 | • Country: DO | • Pay-per-use: USD 0.074 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,1,1,0.3015,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (GB),• Cost Center: MY037101 | • Country: GB | • Pay-per-use: USD 0.0529 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,12,12,0.2156,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (GU),• Cost Center: MY037101 | • Country: GU | • Pay-per-use: USD 0.08514 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,1,1,0.3469,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (HK),• Cost Center: MY037101 | • Country: HK | • Pay-per-use: USD 0.0732 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,3,3,0.2983,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (ID),• Cost Center: MY037101 | • Country: ID | • Pay-per-use: USD 0.0411 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,3,3,0.1675,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (JP),• Cost Center: MY037101 | • Country: JP | • Pay-per-use: USD 0.0732 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,1,1,0.2983,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (KZ),• Cost Center: MY037101 | • Country: KZ | • Pay-per-use: USD 0.08514 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,1,1,0.3469,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (MO),• Cost Center: MY037101 | • Country: MO | • Pay-per-use: USD 0.08514 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,3,3,0.3469,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14/03/2026,14/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia,FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,WhatsApp Business Fee - Marketing (MY),• Cost Center: MY037101 | • Country: MY | • Pay-per-use: USD 0.08514 per message | • Exchange rate: 1USD = 4.0749MYR | • Billing period: Jan 2026,195893,195893,0.3469,67955.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
