DocNo,DocDate,TaxDate,SalesLocation,SalesAgent,CreditTerm,Description,DebtorCode,TaxEntity,Address,InclusiveTax,SubmitEInvoice,ProductCode,AccNo,ClassificationCode,TaxCode,DetailDescription,FurtherDescription,Qty,Unit,UnitPrice,LocalTotalCost,ToBankRate,TaxExemptionExpiryDate,PaymentMethod,PaymentRef,PaymentAmt,Email,EmailCC,EmailBCC,Attention,Phone1,Fax1,DeliverAddress,DeliverContact,DeliverPhone1,DeliverFax1,Ref,Note,Remark1,Remark2,Remark3,Remark4,CurrencyRate,ToTaxCurrencyRate,ShippingRecipientTaxEntity,FreightAllowanceCharge,FreightAllowanceChargeReason,ReferenceNumberOfCustomsFormNo1And9,FreeTradeAgreementInformation,ReferenceNumberOfCustomsFormNo2,Incoterms,AuthorisationNumberForCertifiedExporter,EInvoiceIssueDateTime,EInvoiceUuid,ProductVariant,DeptNo,Discount,UnitType,TaxExportCountry,TaxPermitNo,TaxAdjustment,LocalTaxAdjustment,TariffCode,YourPONo,YourPODate,OriginCountry
<<New>>,13/03/2026,13/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,"Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia",FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,"WhatsApp Business Fee - Marketing (Others)","• Cost Center: MY037101
• Country: Others
• Pay-per-use: USD 0.08514 per message
• Exchange rate: 1USD = 4.0685MYR
• Billing period: Feb 2026",35,35,0.3464,12.1240,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13/03/2026,13/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,"Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia",FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,"WhatsApp Business Fee - Marketing (AE)","• Cost Center: MY037101
• Country: AE
• Pay-per-use: USD 0.0499 per message
• Exchange rate: 1USD = 4.0685MYR
• Billing period: Feb 2026",1,1,0.2030,0.2030,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13/03/2026,13/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,"Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia",FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,"WhatsApp Business Fee - Marketing (AU)","• Cost Center: MY037101
• Country: AU
• Pay-per-use: USD 0.0732 per message
• Exchange rate: 1USD = 4.0685MYR
• Billing period: Feb 2026",11,11,0.2978,3.2758,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13/03/2026,13/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,"Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia",FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,"WhatsApp Business Fee - Marketing (BN)","• Cost Center: MY037101
• Country: BN
• Pay-per-use: USD 0.0732 per message
• Exchange rate: 1USD = 4.0685MYR
• Billing period: Feb 2026",2,2,0.2978,0.5956,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13/03/2026,13/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,"Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia",FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,"WhatsApp Business Fee - Marketing (CH)","• Cost Center: MY037101
• Country: CH
• Pay-per-use: USD 0.0592 per message
• Exchange rate: 1USD = 4.0685MYR
• Billing period: Feb 2026",1,1,0.2409,0.2409,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13/03/2026,13/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,"Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia",FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,"WhatsApp Business Fee - Marketing (CN)","• Cost Center: MY037101
• Country: CN
• Pay-per-use: USD 0.0732 per message
• Exchange rate: 1USD = 4.0685MYR
• Billing period: Feb 2026",1,1,0.2978,0.2978,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13/03/2026,13/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,"Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia",FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,"WhatsApp Business Fee - Marketing (DE)","• Cost Center: MY037101
• Country: DE
• Pay-per-use: USD 0.1365 per message
• Exchange rate: 1USD = 4.0685MYR
• Billing period: Feb 2026",1,1,0.5554,0.5554,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13/03/2026,13/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,"Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia",FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,"WhatsApp Business Fee - Marketing (GB)","• Cost Center: MY037101
• Country: GB
• Pay-per-use: USD 0.0529 per message
• Exchange rate: 1USD = 4.0685MYR
• Billing period: Feb 2026",8,8,0.2152,1.7216,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13/03/2026,13/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,"Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia",FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,"WhatsApp Business Fee - Marketing (IE)","• Cost Center: MY037101
• Country: IE
• Pay-per-use: USD 0.0592 per message
• Exchange rate: 1USD = 4.0685MYR
• Billing period: Feb 2026",1,1,0.2409,0.2409,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13/03/2026,13/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,"Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia",FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,"WhatsApp Business Fee - Marketing (IN)","• Cost Center: MY037101
• Country: IN
• Pay-per-use: USD 0.0107 per message
• Exchange rate: 1USD = 4.0685MYR
• Billing period: Feb 2026",1,1,0.0435,0.0435,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13/03/2026,13/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,"Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia",FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,"WhatsApp Business Fee - Marketing (JP)","• Cost Center: MY037101
• Country: JP
• Pay-per-use: USD 0.0732 per message
• Exchange rate: 1USD = 4.0685MYR
• Billing period: Feb 2026",4,4,0.2978,1.1912,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13/03/2026,13/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,"Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia",FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,"WhatsApp Business Fee - Marketing (KR)","• Cost Center: MY037101
• Country: KR
• Pay-per-use: USD 0.0732 per message
• Exchange rate: 1USD = 4.0685MYR
• Billing period: Feb 2026",1,1,0.2978,0.2978,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13/03/2026,13/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,"Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia",FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,"WhatsApp Business Fee - Marketing (MY)","• Cost Center: MY037101
• Country: MY
• Pay-per-use: USD 0.08514 per message
• Exchange rate: 1USD = 4.0685MYR
• Billing period: Feb 2026",36438,36438,0.3464,12622.1232,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13/03/2026,13/03/2026,HQ,Darren Lim,Net 30 days,INVOICE,300-0001,TIN:C20395547010,"Level 19 Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur Malaysia",FALSE,FALSE,MODE-WA-API,500-0000,'022,SV-8,"WhatsApp Business Fee - Marketing (NZ)","• Cost Center: MY037101
• Country: NZ
• Pay-per-use: USD 0.0732 per message
• Exchange rate: 1USD = 4.0685MYR
• Billing period: Feb 2026",1,1,0.2978,0.2978,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
